strategy,calibration,prod_AUROC,prod_AUPRC,prod_bestF1,prod_bestF1_thr,prod_bestF1_prec,prod_bestF1_rec,prod_sparsity_F1,prod_truth_thr,prod_pos_rate,cons_AUROC,cons_AUPRC,cons_bestF1,cons_bestF1_thr,cons_bestF1_prec,cons_bestF1_rec,cons_sparsity_F1,cons_truth_thr,cons_pos_rate
tanh,platt,0.5961461260537937,0.5343451335664453,0.6296296296296297,0.4254748631661666,0.5573770491803278,0.723404255319149,0.5319148936170213,0.0,0.47,0.6357808857808858,0.275190155132562,0.4905660377358491,0.21221088007887148,0.41935483870967744,0.5909090909090909,0.3181818181818182,0.0,0.22
raw,isotonic,0.6336812525090325,0.5634632474484766,0.6296296296296297,0.3333333333333333,0.5573770491803278,0.723404255319149,0.6296296296296297,0.0,0.47,0.6824009324009322,0.3428278173439464,0.4905660377358491,0.13043478260869565,0.41935483870967744,0.5909090909090909,0.4799999999999999,0.0,0.22
zscore,isotonic,0.6336812525090325,0.5634632474484766,0.6296296296296297,0.3333333333333333,0.5573770491803278,0.723404255319149,0.6296296296296297,0.0,0.47,0.6867715617715617,0.35002683454296357,0.4905660377358491,0.16666666666666666,0.41935483870967744,0.5909090909090909,0.4799999999999999,0.0,0.22
robust,isotonic,0.6011641910879165,0.5475631029470067,0.5393258426966292,0.39655172413793105,0.5714285714285714,0.5106382978723404,0.6394557823129251,0.0,0.47,0.7112470862470862,0.3635677750606483,0.49230769230769234,0.10526315789473684,0.37209302325581395,0.7272727272727273,0.4799999999999999,0.0,0.22
per_row_zscore,isotonic,0.621035728623043,0.5635866261398176,0.5979381443298969,0.36,0.58,0.6170212765957447,0.5979381443298969,0.0,0.47,0.6756993006993006,0.3341712382445141,0.4814814814814815,0.1323529411764706,0.40625,0.5909090909090909,0.47058823529411764,0.0,0.22
per_col_zscore,isotonic,0.6022544283413849,0.5437400654511454,0.5121951219512195,0.390625,0.5833333333333334,0.45652173913043476,0.6301369863013699,0.017912916839122772,0.46,0.643065268065268,0.2998503462139826,0.4406779661016949,0.14285714285714285,0.35135135135135137,0.5909090909090909,0.4406779661016949,0.0,0.22
signed_log,isotonic,0.6336812525090325,0.5634632474484766,0.6296296296296297,0.3333333333333333,0.5573770491803278,0.723404255319149,0.6296296296296297,0.0,0.47,0.6824009324009322,0.3428278173439464,0.4905660377358491,0.13043478260869565,0.41935483870967744,0.5909090909090909,0.4799999999999999,0.0,0.22
robust_log,isotonic,0.6451224407868327,0.6001636661211129,0.5979381443298969,0.36,0.58,0.6170212765957447,0.5979381443298969,0.0,0.47,0.6879370629370629,0.3257480614623472,0.47887323943661975,0.09803921568627451,0.3469387755102041,0.7727272727272727,0.459016393442623,0.0,0.22
tanh,isotonic,0.6336812525090325,0.5634632474484766,0.6296296296296297,0.3333333333333333,0.5573770491803278,0.723404255319149,0.6296296296296297,0.0,0.47,0.6824009324009322,0.3428278173439464,0.4905660377358491,0.13043478260869565,0.41935483870967744,0.5909090909090909,0.4799999999999999,0.0,0.22
ENSEMBLE,rank_avg,0.6093938177438779,0.5469529230390167,0.6262626262626262,0.515625,0.5961538461538461,0.6595744680851063,,0.0,0.47,0.6241258741258741,0.28448373485828693,0.45333333333333337,0.49,0.32075471698113206,0.7727272727272727,,0.0,0.22
