metric,baseline,best,delta,status
Prod AUROC,0.5961,0.6101967081493377,0.014096708149337722,▲ IMPROVED
Prod AUPRC,0.5343,0.5678686233585899,0.0335686233585899,▲ IMPROVED
Prod bestF1,0.6296,0.5979381443298969,-0.031661855670103156,▼ REGRESSED
Cons AUROC,0.6358,0.6558857808857809,0.020085780885780835,▲ IMPROVED
Cons AUPRC,0.2752,0.29503177863957375,0.01983177863957375,▲ IMPROVED
Cons bestF1,0.4906,0.47887323943661975,-0.011726760563380234,▼ REGRESSED
