microbe,importance_mean_abs_grad
2.952043000072859691e+00,0.032064387949867525
0.000000000000000000e+00.1,0.021644280955661087
0.000000000000000000e+00.4,0.021559765375423014
0.000000000000000000e+00.3,0.01483138812291145
0.000000000000000000e+00,0.013456827043773956
0.000000000000000000e+00.5,0.012609195450568222
2.173821302551228740e+00,0.010911240060522687
0.000000000000000000e+00.6,0.009270101187939871
1.771141028114855853e+00,0.006753539490091498
0.000000000000000000e+00.2,0.006097690243768739
